[2013-07-13 23:34:12,740] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:34:42,294] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:35:40,319] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:35:56,463] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:35:58,429] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:36:06,649] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:37:12,460] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:58:20,911] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:58:59,330] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-13 23:59:58,737] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-14 00:00:04,197] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-14 00:03:49,281] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-14 00:04:38,972] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 08:56:41,679] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 09:36:54,193] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 09:37:11,330] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 09:40:38,729] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:25:49,229] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:33:04,597] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:38:20,645] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:38:31,626] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:38:35,178] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:38:45,175] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:40:18,652] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:40:22,047] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:41:10,677] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:43:54,891] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:45:11,380] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:50:57,995] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:51:48,618] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:54:04,043] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:55:49,426] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:55:56,567] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:56:33,991] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:56:43,769] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:56:49,352] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:56:50,560] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:56:59,360] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:56:59,558] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:57:03,490] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:57:08,618] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:57:14,979] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:57:17,053] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 10:57:46,191] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:57:59,683] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 10:58:24,649] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 11:11:24,950] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 11:11:40,131] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 11:12:15,955] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 11:19:53,365] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 11:21:22,825] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 11:27:25,369] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 11:27:26,779] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-07-15 11:28:37,552] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-07-15 11:36:16,682] DEBUG   
     scComId11111 = null,orgCode=11610101
