[2013-09-10 14:42:33,054] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:44:13,284] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 14:46:29,301] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:46:44,533] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:46:54,972] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:46:56,072] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:46:58,106] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:46:59,629] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:49:00,793] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 14:51:48,621] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:52:53,961] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:52:53,975] DEBUG   
     ext = EXTEND_COLUMN#WEEKDAY#CUSTGEOTYPE,城市#CUSTTYPE,商场
[2013-09-10 14:55:51,227] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 14:59:54,485] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:59:56,873] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 14:59:59,741] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:00,584] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:01,676] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:02,199] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:02,516] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:03,164] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:03,997] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:05,195] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:05,961] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:06,690] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:07,525] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:08,169] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:00:08,199] DEBUG   
     ext = EXTEND_COLUMN#WEEKDAY#CUSTGEOTYPE,城市#CUSTTYPE,商场
[2013-09-10 15:11:24,487] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:11:24,500] DEBUG   
     ext = EXTEND_COLUMN#WEEKDAY#CUSTGEOTYPE,城市#CUSTTYPE,商场
[2013-09-10 15:19:55,227] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:24:25,121] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:26:30,452] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:29:16,143] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:29:26,606] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:30:29,328] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:34:52,060] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:36:24,054] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:36:28,832] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:44:45,772] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 15:46:29,363] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:47:48,941] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:50:58,482] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:54:52,279] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:56:18,841] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:58:58,274] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 15:59:04,616] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 16:04:13,565] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 16:04:45,360] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 16:06:34,779] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 16:20:23,149] DEBUG   
     scComId11111 = null,orgCode=11610101
[2013-09-10 16:28:59,930] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 16:30:10,664] DEBUG   
     scComId11111 = null,orgCode=11620901
[2013-09-10 16:30:10,685] DEBUG   
     ext = EXTEND_COLUMN#WEEKDAY#CUSTGEOTYPE#CUSTTYPE,便利店
[2013-09-10 16:30:23,669] DEBUG   
     scComId11111 = 11620901,orgCode=11620901
[2013-09-10 16:30:48,146] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 16:33:51,890] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 16:37:37,554] DEBUG   
     scComId11111 = 11610101,orgCode=11610101
[2013-09-10 16:40:32,015] DEBUG   
